Basin,Subbasin,Date,Year,Month,Avg_rainfall,Agency_name
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-25,2022,01,0.036906064,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-19,2022,01,0.310775542,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-20,2022,01,0.40622262,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-21,2022,01,2.015447673,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-26,2022,01,1.128114432,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-27,2022,01,0.749081081,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-28,2022,01,0.022561975,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-29,2022,01,0,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-30,2022,01,0,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-01,2022,01,0.052749063,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-04,2022,01,0.000415934,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-05,2022,01,0,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-06,2022,01,0.646171303,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-07,2022,01,0,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-08,2022,01,0.003732833,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-10,2022,01,0,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-11,2022,01,0.0216321,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-03,2022,01,0,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-09,2022,01,0,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-12,2022,01,0.388108846,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-13,2022,01,3.299450396,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-14,2022,01,1.113505027,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-15,2022,01,0.162390556,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-16,2022,01,3.513843293,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-17,2022,01,0,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-18,2022,01,0.015794923,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-22,2022,01,0,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-23,2022,01,0.029813313,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-24,2022,01,4.775519568,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-25,2022,01,0.318394055,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-19,2022,01,0.095428685,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-20,2022,01,0.000638001,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-21,2022,01,0.019781546,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-26,2022,01,0.003609462,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-27,2022,01,2.628802427,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-28,2022,01,0.485021499,NRSC VIC MODEL
